Distance_(pixels);Gray_Value;X_Fit:_Gaussian;Fit:_Gaussian
315;104.282;373.018;101.6904
316;104.408;374.202;101.7196
317;104.635;375.386;101.7503
318;104.667;376.571;101.7825
319;104.667;377.755;101.8164
320;104.792;378.939;101.8520
321;105.253;380.123;101.8894
322;106.046;381.307;101.9286
323;106.107;382.491;101.9699
324;105.817;383.676;102.0131
325;106.022;384.860;102.0584
326;106.214;386.044;102.1060
327;106.256;387.228;102.1558
328;105.821;388.412;102.2081
329;105.387;389.597;102.2627
330;105.333;390.781;102.3200
331;105.477;391.965;102.3800
332;106.264;393.149;102.4427
333;106.414;394.333;102.5083
334;107.624;395.518;102.5770
335;107.667;396.702;102.6487
336;107.667;397.886;102.7237
337;107.843;399.070;102.8020
338;109.020;400.254;102.8837
339;109.810;401.438;102.9691
340;109.811;402.623;103.0582
341;109.425;403.807;103.1511
342;109.667;404.991;103.2480
343;109.761;406.175;103.3490
344;110.500;407.359;103.4542
345;110.427;408.544;103.5639
346;110.333;409.728;103.6781
347;110.333;410.912;103.7970
348;109.886;412.096;103.9207
349;109.758;413.280;104.0493
350;110.053;414.464;104.1832
351;110.216;415.649;104.3223
352;110.158;416.833;104.4669
353;109.333;418.017;104.6171
354;109.333;419.201;104.7730
355;108.713;420.385;104.9350
356;108.930;421.570;105.1030
357;109.349;422.754;105.2773
358;109.318;423.938;105.4580
359;108.194;425.122;105.6454
360;107.049;426.306;105.8396
361;106.970;427.490;106.0407
362;107.136;428.675;106.2490
363;106.399;429.859;106.4647
364;107.051;431.043;106.6878
365;106.949;432.227;106.9186
366;106.831;433.411;107.1572
367;107.683;434.596;107.4039
368;106.880;435.780;107.6589
369;106.000;436.964;107.9222
370;105.968;438.148;108.1941
371;106.000;439.332;108.4747
372;105.974;440.517;108.7642
373;106.000;441.701;109.0629
374;105.993;442.885;109.3708
375;104.865;444.069;109.6882
376;105.157;445.253;110.0152
377;107.353;446.437;110.3519
378;106.769;447.622;110.6986
379;105.311;448.806;111.0555
380;103.429;449.990;111.4225
381;101.683;451.174;111.8000
382;101.553;452.358;112.1881
383;102.504;453.543;112.5868
384;104.211;454.727;112.9964
385;106.164;455.911;113.4170
386;107.537;457.095;113.8487
387;108.000;458.279;114.2917
388;107.791;459.463;114.7460
389;107.329;460.648;115.2118
390;107.608;461.832;115.6891
391;107.837;463.016;116.1782
392;106.762;464.200;116.6790
393;104.896;465.384;117.1917
394;103.997;466.569;117.7162
395;103.331;467.753;118.2528
396;102.463;468.937;118.8014
397;102.419;470.121;119.3621
398;102.027;471.305;119.9349
399;102.179;472.490;120.5200
400;102.243;473.674;121.1171
401;101.967;474.858;121.7265
402;101.084;476.042;122.3480
403;100.920;477.226;122.9817
404;99.185;478.410;123.6275
405;99.333;479.595;124.2855
406;99.333;480.779;124.9554
407;99.333;481.963;125.6374
408;99.085;483.147;126.3313
409;99.000;484.331;127.0369
410;98.922;485.516;127.7543
411;98.858;486.700;128.4832
412;99.001;487.884;129.2236
413;99.176;489.068;129.9753
414;99.370;490.252;130.7382
415;99.767;491.436;131.5120
416;99.502;492.621;132.2966
417;99.289;493.805;133.0919
418;99.586;494.989;133.8974
419;99.848;496.173;134.7131
420;99.840;497.357;135.5386
421;100.055;498.542;136.3737
422;100.652;499.726;137.2182
423;101.035;500.910;138.0717
424;100.992;502.094;138.9338
425;101.748;503.278;139.8044
426;101.944;504.462;140.6830
427;102.270;505.647;141.5693
