% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 777.8 ms, time offset -18.37 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel B, level 335.9 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-02-12 T 09:53:25 -0500
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-2.699087600000e-01, 4.763068e-01, 2.442599e-03
-2.691461520000e-01, 4.763068e-01, 3.663899e-03
-2.683835440000e-01, 4.824133e-01, 2.442599e-03
-2.676209360000e-01, 4.824133e-01, 3.663899e-03
-2.668583280000e-01, 4.824133e-01, 4.885198e-03
-2.660957200000e-01, 4.885198e-01, 2.442599e-03
-2.653331120000e-01, 4.824133e-01, 3.663899e-03
-2.645705040000e-01, 4.824133e-01, 3.663899e-03
-2.638078960000e-01, 5.007328e-01, 4.885198e-03
-2.630452880000e-01, 4.885198e-01, 2.442599e-03
-2.622826800000e-01, 4.885198e-01, 2.442599e-03
-2.615200720000e-01, 5.007328e-01, 3.663899e-03
-2.607574640000e-01, 5.007328e-01, 2.442599e-03
-2.599948560000e-01, 5.312653e-01, 3.663899e-03
-2.592322480000e-01, 5.068393e-01, 2.442599e-03
-2.584696400000e-01, 4.885198e-01, 2.442599e-03
-2.577070320000e-01, 4.946263e-01, 2.442599e-03
-2.569444240000e-01, 5.129458e-01, 3.663899e-03
-2.561818160000e-01, 5.007328e-01, 2.442599e-03
-2.554192080000e-01, 5.068393e-01, 3.663899e-03
-2.546566000000e-01, 5.129458e-01, 3.663899e-03
-2.538939920000e-01, 5.190523e-01, 2.442599e-03
-2.531313840000e-01, 4.946263e-01, 2.442599e-03
-2.523687760000e-01, 5.007328e-01, 2.442599e-03
-2.516061680000e-01, 5.190523e-01, 3.663899e-03
-2.508435600000e-01, 4.946263e-01, 3.663899e-03
-2.500809520000e-01, 5.068393e-01, 3.663899e-03
-2.493183440000e-01, 5.129458e-01, 3.663899e-03
-2.485557360000e-01, 5.190523e-01, 2.442599e-03
-2.477931280000e-01, 5.251588e-01, 2.442599e-03
-2.470305200000e-01, 5.190523e-01, 3.663899e-03
-2.462679120000e-01, 5.129458e-01, 2.442599e-03
-2.455053040000e-01, 5.068393e-01, 3.663899e-03
-2.447426960000e-01, 4.946263e-01, 3.663899e-03
-2.439800880000e-01, 4.946263e-01, 4.885198e-03
-2.432174800000e-01, 5.068393e-01, 3.663899e-03
-2.424548720000e-01, 5.129458e-01, 3.663899e-03
-2.416922640000e-01, 4.824133e-01, 2.442599e-03
-2.409296560000e-01, 5.129458e-01, 2.442599e-03
-2.401670480000e-01, 5.007328e-01, 2.442599e-03
-2.394044400000e-01, 5.007328e-01, 2.442599e-03
-2.386418320000e-01, 5.190523e-01, 3.663899e-03
-2.378792240000e-01, 4.763068e-01, 2.442599e-03
-2.371166160000e-01, 4.885198e-01, 2.442599e-03
-2.363540080000e-01, 5.068393e-01, 2.442599e-03
-2.355914000000e-01, 5.068393e-01, 2.442599e-03
-2.348287920000e-01, 5.251588e-01, 1.221300e-03
-2.340661840000e-01, 5.068393e-01, 2.442599e-03
-2.333035760000e-01, 5.129458e-01, 3.663899e-03
-2.325409680000e-01, 5.129458e-01, 3.663899e-03
-2.317783600000e-01, 4.885198e-01, 3.663899e-03
-2.310157520000e-01, 5.007328e-01, 2.442599e-03
-2.302531440000e-01, 5.007328e-01, 2.442599e-03
-2.294905360000e-01, 5.007328e-01, 3.663899e-03
-2.287279280000e-01, 4.824133e-01, 3.663899e-03
-2.279653200000e-01, 5.068393e-01, 4.885198e-03
-2.272027120000e-01, 5.129458e-01, 2.442599e-03
-2.264401040000e-01, 5.007328e-01, 3.663899e-03
-2.256774960000e-01, 5.068393e-01, 3.663899e-03
-2.249148880000e-01, 5.007328e-01, 2.442599e-03
-2.241522800000e-01, 5.007328e-01, 2.442599e-03
-2.233896720000e-01, 5.007328e-01, 3.663899e-03
-2.226270640000e-01, 4.824133e-01, 2.442599e-03
-2.218644560000e-01, 4.824133e-01, 2.442599e-03
-2.211018480000e-01, 5.007328e-01, 2.442599e-03
-2.203392400000e-01, 5.007328e-01, 2.442599e-03
-2.195766320000e-01, 4.824133e-01, 3.663899e-03
-2.188140240000e-01, 4.946263e-01, 2.442599e-03
-2.180514160000e-01, 4.946263e-01, 2.442599e-03
-2.172888080000e-01, 4.946263e-01, 3.663899e-03
-2.165262000000e-01, 4.946263e-01, 2.442599e-03
-2.157635920000e-01, 4.824133e-01, 3.663899e-03
-2.150009840000e-01, 5.068393e-01, 3.663899e-03
-2.142383760000e-01, 5.068393e-01, 2.442599e-03
-2.134757680000e-01, 5.068393e-01, 3.663899e-03
-2.127131600000e-01, 5.007328e-01, 2.442599e-03
